Team,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Abbr.,T_n_Bhd
Arizona Diamondbacks,162,503,162,25,35,71,42,29,59%,164,88,201,69,34%,,1.019,164,107,232,253,67,183,150,353,107,130,128,73,3.3,19,ARI,250
Athletics,162,511,162,27,22,55,35,20,64%,122,67,237,65,27%,,0.903,140,111,260,195,78,238,161,350,175,119,194,72,3.7,21,ATH,316
Atlanta Braves,162,520,161,31,26,55,34,21,62%,128,73,215,83,39%,,0.962,168,109,243,216,84,220,158,362,117,115,142,80,3.3,19,ATL,304
Baltimore Orioles,162,543,161,26,33,58,38,20,66%,167,105,214,59,28%,,0.982,168,139,236,243,85,215,154,389,126,115,149,80,3.3,19,BAL,300
Boston Red Sox,162,536,160,36,29,73,45,28,62%,161,86,223,74,33%,,1.026,191,136,209,255,102,179,160,376,115,127,134,91,3.3,18,BOS,281
Chicago Cubs,162,523,162,27,28,64,44,20,69%,177,110,142,48,34%,,0.954,158,131,234,285,81,157,101,422,90,100,102,88,3.3,18,CHC,238
Chicago White Sox,162,532,162,28,48,49,25,24,51%,121,70,240,76,32%,,0.989,153,126,253,205,97,230,163,369,154,134,185,76,3.7,21,CHW,327
Cincinnati Reds,162,550,158,30,30,63,41,22,65%,170,104,217,69,32%,,1.008,172,156,222,264,71,215,148,402,105,118,128,128,3.1,18,CIN,286
Cleveland Guardians,162,531,160,37,24,69,47,22,68%,184,112,209,68,33%,,1.027,192,135,204,251,88,192,151,380,114,147,143,113,3.1,17,CLE,280
Colorado Rockies,162,531,162,21,26,54,29,25,54%,115,61,278,98,35%,,0.866,139,96,296,141,49,341,161,370,163,91,183,77,3.6,20,COL,390
Detroit Tigers,162,508,161,33,26,62,40,22,65%,142,75,258,74,29%,,0.949,140,107,261,249,66,193,182,326,183,103,224,75,3.7,20,DET,259
Houston Astros,162,518,159,37,21,62,45,17,73%,154,89,182,43,24%,,0.979,167,101,250,244,67,207,131,387,121,93,138,92,3.4,18,HOU,274
Kansas City Royals,162,547,162,35,25,67,47,20,70%,158,89,220,60,27%,,0.997,174,147,226,238,96,213,161,386,113,126,138,110,3.1,17,KCR,309
Los Angeles Angels,162,555,162,41,28,72,38,34,53%,157,82,212,80,38%,,1.027,206,137,212,207,111,237,140,415,101,125,115,99,3.2,18,LAA,348
Los Angeles Dodgers,162,581,162,44,33,73,46,27,63%,206,128,230,60,26%,,1.023,187,173,221,322,80,179,149,432,119,157,138,104,3.4,19,LAD,259
Miami Marlins,162,515,162,39,23,62,40,22,65%,149,85,190,58,31%,,0.974,169,140,206,226,89,200,133,382,152,96,175,73,3.7,20,MIA,289
Milwaukee Brewers,162,550,162,37,25,66,45,21,68%,177,107,218,69,32%,,1.001,187,145,218,297,81,172,145,405,120,113,138,105,3.5,19,MIL,253
Minnesota Twins,162,543,161,26,41,53,28,25,53%,150,95,167,59,35%,,0.962,174,125,244,247,103,193,117,426,101,98,109,80,3.4,19,MIN,296
New York Mets,162,541,161,32,36,68,40,28,59%,170,101,257,90,35%,,1.031,185,129,227,263,81,197,176,365,142,120,167,73,3.5,20,NYM,278
New York Yankees,162,533,162,28,31,64,43,21,67%,166,100,255,70,27%,,0.978,165,134,234,276,84,173,167,366,126,140,163,88,3.2,18,NYY,257
Philadelphia Phillies,162,506,160,33,22,74,47,27,64%,160,83,151,48,32%,,1,179,105,221,259,77,169,106,399,58,96,60,73,3,17,PHI,246
Pittsburgh Pirates,162,510,161,36,38,62,36,26,58%,141,76,218,77,35%,,0.998,162,133,215,212,91,207,143,367,156,110,175,87,3.6,20,PIT,298
San Diego Padres,162,577,160,44,27,65,49,16,75%,174,104,263,77,29%,,1.002,209,125,243,273,95,209,185,392,136,124,175,108,3.2,17,SDP,304
Seattle Mariners,162,550,162,35,27,69,43,26,62%,159,90,147,37,25%,,1.062,216,105,229,257,118,175,132,418,96,114,109,118,3.2,17,SEA,293
San Francisco Giants,162,515,161,34,27,63,41,22,65%,152,89,193,71,37%,,1.063,173,134,208,230,76,209,122,393,118,98,127,85,3.5,18,SFG,285
St. Louis Cardinals,162,487,160,31,24,65,42,23,65%,161,92,217,73,34%,,1.019,157,115,215,217,60,210,156,331,156,90,184,89,3.6,20,STL,270
Tampa Bay Rays,162,518,161,26,33,64,35,29,55%,154,87,165,53,32%,,0.98,156,131,231,252,73,193,112,406,108,95,121,97,3.4,18,TBR,266
Texas Rangers,162,523,160,27,37,66,37,29,56%,151,80,260,73,28%,,1.044,180,134,209,247,103,173,184,339,154,140,190,91,3.3,18,TEX,276
Toronto Blue Jays,162,570,160,44,22,65,42,23,65%,168,96,254,70,28%,,0.987,156,155,259,273,70,227,178,392,136,157,167,102,3.1,18,TOR,297
Washington Nationals,162,583,162,30,22,57,37,20,65%,134,76,277,108,39%,,0.9,134,142,307,200,57,326,167,416,109,162,134,110,3,18,WAS,383
League Average,162,534,161,33,29,64,40,24,63%,156,90,217,69,32%,,0.99,171,129,234,243,83,208,150,384,126,118,148,91,3.3,19,AVR,291
Some Totals,4860,16010,4831,980,869,1910,1201,709,,4692,2700,6510,2059,,,,,,,7297,2480,6232,,,3771,3553,4435,2737,3.3,19,TOT,8712
Important Columns,,,,,,,,,,,*,,,,,,,,,,*,*,,,,,,,,,,*
