Team,HLD in W,HLD in L,Totals,HLD W/L,HLD W/T,TG,W,L,W/L
MIL,96,11,107,8.727272727,0.897196262,162,97,65,0.598765432
PHI,77,6,83,12.83333333,0.927710843,162,96,66,0.592592593
NYY,86,14,100,6.142857143,0.86,162,94,68,0.580246914
TOR,84,12,96,7,0.875,162,94,68,0.580246914
LAD,114,14,128,8.142857143,0.890625,162,93,69,0.574074074
CHC,97,13,110,7.461538462,0.881818182,162,92,70,0.567901235
SDP,95,9,104,10.55555556,0.913461538,162,90,72,0.555555556
SEA,86,4,90,21.5,0.955555556,162,90,72,0.555555556
BOS,80,6,86,13.33333333,0.930232558,162,89,73,0.549382716
CLE,102,10,112,10.2,0.910714286,162,88,74,0.543209877
HOU,77,12,89,6.416666667,0.865168539,162,87,75,0.537037037
DET,68,7,75,9.714285714,0.906666667,162,87,75,0.537037037
CIN,93,11,104,8.454545455,0.894230769,162,83,79,0.512345679
NYM,89,12,101,7.416666667,0.881188119,162,83,79,0.512345679
KCR,85,4,89,21.25,0.95505618,162,82,80,0.50617284
SFG,75,14,89,5.357142857,0.842696629,162,81,81,0.5
TEX,61,19,80,3.210526316,0.7625,162,81,81,0.5
ARI,65,23,88,2.826086957,0.738636364,162,80,82,0.49382716
MIA,75,10,85,7.5,0.882352941,162,79,83,0.487654321
STL,86,6,92,14.33333333,0.934782609,162,78,84,0.481481481
TBR,71,16,87,4.4375,0.816091954,162,77,85,0.475308642
ATL,61,12,73,5.083333333,0.835616438,162,76,86,0.469135802
ATH,56,12,68,4.666666667,0.823529412,162,76,86,0.469135802
BAL,91,14,105,6.5,0.866666667,162,75,87,0.462962963
LAA,76,6,82,12.66666667,0.926829268,162,72,90,0.444444444
PIT,65,11,76,5.909090909,0.855263158,162,71,91,0.438271605
MIN,76,19,95,4,0.8,162,70,92,0.432098765
WSN,70,6,76,11.66666667,0.921052632,162,66,96,0.407407407
CHW,52,18,70,2.888888889,0.742857143,162,60,102,0.37037037
COL,47,14,61,3.357142857,0.770491803,162,43,119,0.265432099
Totals,2356,345,2701,,,,,,
Average,78.53333333,11.5,90.03333333,8.451731922,0.868799717,,,,
Taken from BRef,,,,,,,,,
