Player,Hold_Count,Better_xHolds,player_id,W,L,SV,G,GS,IP,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,HLD,BS,RE24,pLI,WPA/LI,Clutch,ERA-,FIP-,xFIP-,SIERA,,,,,,,,,,,,,,
Abner Uribe,37,32.86519653,682842,3,2,7,75,0,75.1,51,18,14,4,27,2,6,5,1,90,1.955656409,10.75221312,3.225663935,0.477876138,0.274853801,0.84183673,0.532163742,0.09090909,99.55213867,1.672566485,2.753989377,2.75018054,2.960399977,1.688326001,37,2,18.27300072,1.571385741,1.618703604,-0.374161059,40.04864938,67.00354415,72.09760962,2.885995885,,,,,,,,,,,,,,
Hunter Gaddis,35,29.71461326,683769,2,2,3,73,0,66.2,58,24,23,8,21,2,1,2,0,73,2.009164333,9.855001504,2.835000433,1.080000165,0.292397661,0.81395349,0.369318181,0.105263157,94.72050612,3.105000474,3.614059422,3.495136373,3.692719222,0.844563007,35,4,4.196000099,1.67100358,0.735390544,0.466979312,76.70176289,84.35886192,88.14124315,3.306899795,,,,,,,,,,,,,,
Tony Santillan,33,30.36533533,663574,1,5,7,80,0,73.2,53,23,20,7,29,0,5,4,0,75,2.329463959,9.162897193,3.542986915,0.855203738,0.248648649,0.82901554,0.361702127,0.093333333,96.19285156,2.443439251,4.337801806,3.718846806,4.053196833,1.052876115,33,4,11.93600082,1.658329725,1.276288986,0.128415955,55.34384899,85.75553497,97.97559792,3.720321597,,,,,,,,,,,,,,
Tyler Rogers,32,29.09671006,643511,4,6,0,81,0,77.1,66,20,17,4,7,0,1,0,0,48,0.980008364,5.586207264,0.814655226,0.465517272,0.259414226,0.78947368,0.620833333,0.09090909,,1.978448406,2.667309392,2.876515612,3.081298339,1.304757416,32,2,15.64699984,1.307321087,1.908763498,-1.159132536,48.36097009,71.86958632,74.96054464,2.892088581,,,,,,,,,,,,,,
Brendon Little,30,28.63360248,663893,4,2,1,79,0,68.1,48,28,23,2,45,4,2,7,1,91,0.885538518,11.98536942,5.926831033,0.263414713,0.296774194,0.72668113,0.589743589,0.054054054,95.36256917,3.029269195,3.359668789,2.915624058,3.369931822,1.26181519,30,3,9.866999626,1.524854183,0.610863626,-0.030127102,74.3950226,68.18037618,80.2573436,3.659187838,,,,,,,,,,,,,,
Alex Vesia,26,19.87732338,681911,4,2,5,68,0,59.2,37,21,20,9,22,3,5,3,0,80,1.2801404,12.06704193,3.318436532,1.357542218,0.231404959,0.83657588,0.285714285,0.132352941,92.68598533,3.016760484,3.065324962,3.772007976,3.568180108,0.971724093,25,4,13.01900005,1.559931517,1.04455471,-0.223915864,72.05522787,88.716321,86.49015388,2.838246818,,,,,,,,,,,,,,
Jeremiah Estrada,30,27.27816568,669093,4,5,3,77,0,73,58,31,28,12,27,2,3,3,0,108,1.295092344,13.31507128,3.328767819,1.479452364,0.298701299,0.8005618,0.359756097,0.142857142,97.91346154,3.452055516,2.752575019,3.546095308,3.183165129,1.0448246,30,3,2.204999924,1.442964196,0.427713573,0.469808588,85.23726113,86.71776952,77.37280232,2.552047787,,,,,,,,,,,,,,
Jason Adam,29,26.36889349,592094,8,4,0,65,0,65.1,50,18,14,4,25,3,3,3,0,70,2.111424208,9.642857894,3.443877819,0.551020451,0.273809524,0.82872928,0.423529411,0.055555555,94.67942656,1.928571579,2.753047492,3.073911824,3.97705318,1.245200872,29,2,12.79799938,1.750738502,1.255535603,-0.049516425,47.61979015,75.43859507,96.17247727,3.544249252,,,,,,,,,,,,,,
Griffin Jax,28,29.07213514,643377,1,7,0,73,2,66,64,33,31,7,21,3,1,0,0,99,-0.61360763,13.50000156,2.863636695,0.954545565,0.367741935,0.69553806,0.44654088,0.155555555,97.01924652,4.227273216,3.250700137,2.513924125,2.186322105,1.697702784,28,6,4.344099998,1.714529244,0.176463446,-0.534350389,102.3853365,58.91363548,51.34834621,2.354109303,,,,,,,,,,,,,,
Jared Koenig,27,23.98271098,657649,6,1,2,72,0,66,57,21,21,6,20,1,4,1,0,68,2.073186398,9.272728345,2.727273043,0.818181913,0.3,0.82644628,0.459770114,0.085714285,95.76968587,2.863636695,2.824113274,3.347257555,3.800617487,0.892043889,27,2,8.023000717,1.356493831,0.632663012,0.895678917,68.56814541,81.11820517,91.99438984,3.362136845,,,,,,,,,,,,,,
