Player,Hold_Count,sRE24,sTmRDiff,aTmRDiff,a_aLI,sIR,aIR,TmRS,sWPA,aWPA,sIP,aIP,sH,aH,sR,aR,sER,aER,sUER,aUER,sHR,aHR,sBB,aBB,sIBB,aIBB,s_SO,aSO,sHBP,aHBP,sBK,aBK,sWP,aWP,sBF,aBF,sBR,aBR,sIS,aIS,Hold_n_Loss,5+_Holds,Team,BONUS,ERA,FIP,K/9,BB/9,BAA,OBP,WHIP,RA9,Team_Sit_Player,SV,BS,MY_STATs_FINALLY,xHOLDS,is_xHolds_M/L_Holds,testHolds,Teams_Holds
Abner Uribe,37,11.47,82,2.216216216,1.604054054,6,0.162162162,,2.466,0.066648649,36.33333333,0.981981982,25,0.675675676,4,0.108108108,4,0.108108108,0,0,0,0,14,0.378378378,1,0.027027027,46,1.243243243,1,0.027027027,1,0.027027027,2,0.054054054,143,3.864864865,41,1.108108108,4,0.108108108,0,TRUE,MIL,,0.990825688,1.841422018,5.111111111,1.555555556,0.174825175,0.27972028,1.073394495,0.990825688,173,7,2,,31.86705202,FALSE,,107
Hunter Gaddis,35,12.89,69,1.971428571,1.7,14,0.4,,3.006,0.085885714,34.66666667,0.99047619,20,0.571428571,4,0.114285714,4,0.114285714,0,0,2,0.057142857,11,0.314285714,0,0,37,1.057142857,1,0.028571429,0,0,1,0.028571429,134,3.828571429,32,0.914285714,3,0.085714286,0,TRUE,CLE,,1.038461538,2.788846154,4.111111111,1.222222222,0.149253731,0.23880597,0.894230769,1.038461538,181,3,4,,28.8121547,FALSE,,112
Tony Santillan,33,11.46,62,1.878787879,1.675757576,6,0.181818182,,2.544,0.077090909,32.33333333,0.97979798,18,0.545454545,5,0.151515152,5,0.151515152,0,0,2,0.060606061,11,0.333333333,0,0,35,1.060606061,2,0.060606061,0,0,1,0.03030303,122,3.696969697,32,0.96969697,2,0.060606061,0,TRUE,CIN,,1.391752577,2.980360825,3.888888889,1.222222222,0.147540984,0.254098361,0.896907216,1.391752577,167,7,4,,29.44311377,FALSE,,104
Tyler Rogers,32,11.62,65,2.03125,1.6359375,5,0.15625,,2.214,0.0691875,30.66666667,0.958333333,23,0.71875,5,0.15625,3,0.09375,2,0.0625,1,0.03125,1,0.03125,0,0,16,0.5,0,0,0,0,0,0,113,3.53125,24,0.75,1,0.03125,0,TRUE,NYM,,0.880434783,2.61326087,1.777777778,0.111111111,0.203539823,0.212389381,0.782608696,1.467391304,169,0,2,,28.21301775,FALSE,,101
Brendon Little,30,8.39,54,1.8,1.740666667,16,0.533333333,,1.386,0.0462,25,0.833333333,16,0.533333333,9,0.3,6,0.2,3,0.1,1,0.033333333,16,0.533333333,0,0,42,1.4,2,0.066666667,0,0,5,0.166666667,106,3.533333333,35,1.166666667,2,0.066666667,1,TRUE,TOR,,2.16,2.455,4.666666667,1.777777778,0.150943396,0.320754717,1.28,3.24,161,1,3,,27.76397516,FALSE,,96
Alex Vesia,26,5.97,68,2.615384615,1.841153846,16,0.615384615,,1.294,0.049769231,20.66666667,0.794871795,8,0.307692308,7,0.269230769,7,0.269230769,0,0,2,0.076923077,7,0.269230769,1,0.038461538,31,1.192307692,4,0.153846154,0,0,1,0.038461538,78,3,19,0.730769231,1,0.038461538,0,TRUE,LAD,,3.048387097,2.98983871,3.444444444,0.777777778,0.102564103,0.243589744,0.725806452,3.048387097,201,5,4,,19.27363184,FALSE,,128
Jeremiah Estrada,30,8.04,61,2.033333333,1.386666667,5,0.166666667,,1.938,0.0646,28,0.933333333,15,0.5,5,0.166666667,5,0.166666667,0,0,4,0.133333333,6,0.2,0,0,40,1.333333333,2,0.066666667,0,0,1,0.033333333,105,3.5,23,0.766666667,1,0.033333333,0,TRUE,SDP,,1.607142857,2.992142857,4.444444444,0.666666667,0.142857143,0.219047619,0.75,1.607142857,169,3,3,,26.44970414,FALSE,,104
Jason Adam,29,11.81,55,1.896551724,1.778965517,2,0.068965517,,2.447,0.08437931,29.66666667,1.022988506,18,0.620689655,3,0.103448276,3,0.103448276,0,0,1,0.034482759,9,0.310344828,1,0.034482759,29,1,1,0.034482759,0,0,1,0.034482759,114,3.931034483,29,1,0,0,0,TRUE,SDP,,0.91011236,2.629382022,3.222222222,1,0.157894737,0.245614035,0.91011236,0.91011236,169,0,2,,25.56804734,FALSE,,104
Griffin Jax,28,9.47,68,2.428571429,1.653214286,5,0.178571429,,1.764,0.063,25.66666667,0.916666667,17,0.607142857,7,0.25,7,0.25,0,0,2,0.071428571,7,0.25,0,0,39,1.392857143,0,0,0,0,0,0,102,3.642857143,25,0.892857143,0,0,1,TRUE,MIN,,2.454545455,1.927207792,4.333333333,0.777777778,0.166666667,0.235294118,0.935064935,2.454545455,148,0,6,,28.18918919,TRUE,,95
Jared Koenig,27,5.09,66,2.444444444,1.314074074,3,0.111111111,,1.304,0.048296296,24.33333333,0.901234568,21,0.777777778,8,0.296296296,8,0.296296296,0,0,4,0.148148148,3,0.111111111,0,0,23,0.851851852,0,0,0,0,0,0,95,3.518518519,25,0.925925926,1,0.037037037,0,TRUE,MIL,,2.95890411,3.751438356,2.555555556,0.333333333,0.221052632,0.252631579,0.98630137,2.95890411,173,2,2,,23.25433526,FALSE,,107
