Team,Lg,HLD,W,SV,BSv,GP,W,L,WL%,ERA,G,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,IR,IS,IS%,BSv,SV%,GF,GR,Reliever_Scenarios(HLD + SVO),SVO,Val_Rel_Scen,Adj_Team_Holds,Team_Holds_minus_Adj_Team_Holds
MIL,NL,107,97,45,21,162,97,65,0.599,3.59,162,0,0,45,1442.1,1237,634,575,168,534,20,1432,66,7,33,6041,116,3.91,1.228,7.7,1,3.3,8.9,2.68,218,69,32,21,68.2,162,0,173,66,173,95.04238921,-11.95761079
PHI,NL,83,96,47,27,162,96,66,0.593,3.79,162,2,0,47,1440.1,1342,648,607,177,435,9,1471,52,4,36,6026,117,3.7,1.234,8.4,1.1,2.7,9.2,3.38,151,48,32,27,63.5,160,0,157,74,157,81.23779193,-1.762208068
NYY,AL,100,94,43,21,162,94,68,0.58,3.91,162,0,0,43,1439.2,1239,685,625,175,557,12,1440,57,9,53,6080,105,3.99,1.248,7.7,1.1,3.5,9,2.59,255,70,27,21,67.2,162,0,164,64,164,93.69918699,-6.300813008
TOR,AL,96,94,42,23,162,94,68,0.58,4.19,162,2,1,42,1438,1313,721,669,209,517,25,1430,72,9,32,6089,103,4.26,1.273,8.2,1.3,3.2,8.9,2.77,254,70,28,23,64.6,160,0,161,65,161,91.62732919,-4.372670807
LAD,NL,128,93,46,27,162,93,69,0.574,3.95,162,0,0,46,1441,1250,683,633,175,563,33,1505,65,5,71,6077,106,3.93,1.258,7.8,1.1,3.5,9.4,2.67,230,60,26,27,63,162,0,201,73,201,97.85737977,-30.14262023
CHC,NL,110,92,44,20,162,92,70,0.568,3.81,162,0,0,44,1435.1,1284,649,607,202,405,9,1265,53,1,29,5904,102,4.16,1.177,8.1,1.3,2.5,7.9,3.12,142,48,34,20,68.8,162,0,174,64,174,97.14559387,-12.85440613
SDP,NL,104,90,49,16,162,90,72,0.556,3.64,162,2,2,49,1433.1,1197,621,580,178,535,22,1425,65,5,39,5981,118,4.02,1.208,7.5,1.1,3.4,8.9,2.66,263,77,29,16,75.4,160,0,169,65,169,94.56410256,-9.435897436
SEA,AL,90,90,43,26,162,90,72,0.556,3.87,162,0,0,43,1462.2,1331,694,629,192,454,26,1426,74,3,53,6134,98,3.97,1.22,8.2,1.2,2.8,8.8,3.14,147,37,25,26,62.3,162,0,159,69,159,86.98113208,-3.018867925
BOS,AL,86,89,45,28,162,89,73,0.549,3.72,162,2,1,45,1448.1,1333,676,598,164,530,17,1361,73,5,53,6150,111,3.98,1.286,8.3,1,3.3,8.5,2.57,223,74,33,28,61.6,160,0,159,73,159,83.11530398,-2.884696017
CLE,AL,112,88,47,22,162,88,74,0.543,3.7,162,2,1,47,1442.1,1291,649,593,169,527,19,1381,54,9,43,6054,114,3.95,1.26,8.1,1.1,3.3,8.6,2.62,209,68,33,22,68.1,160,0,181,69,181,95.08655617,-16.91344383
DET,AL,75,87,40,22,162,87,75,0.537,3.97,162,1,1,40,1436.1,1309,691,634,187,485,14,1375,59,4,50,6034,105,4.05,1.249,8.2,1.2,3,8.6,2.84,258,74,29,22,64.5,161,0,137,62,137,84.12408759,9.124087591
HOU,AL,89,87,45,17,162,87,75,0.537,3.86,162,3,0,45,1442,1257,665,619,199,508,7,1504,58,4,38,6041,109,4.02,1.224,7.8,1.2,3.2,9.4,2.96,182,43,24,17,72.6,159,0,151,62,151,90.57174393,1.571743929
CIN,NL,104,83,41,22,162,83,79,0.512,3.86,162,4,3,41,1435,1260,681,616,190,494,13,1380,67,2,45,6035,119,4.11,1.222,7.9,1.2,3.1,8.7,2.79,217,69,32,22,65.1,158,0,167,63,167,95.69660679,-8.303393214
NYM,NL,101,83,40,28,162,83,79,0.512,4.04,162,1,1,40,1432.1,1338,715,643,149,556,6,1387,80,4,62,6153,100,3.88,1.322,8.4,0.9,3.5,8.7,2.49,257,90,35,28,58.8,161,0,169,68,169,91.83629191,-9.163708087
KCR,AL,89,82,47,20,162,82,80,0.506,3.73,162,0,0,47,1436.2,1308,637,596,171,478,17,1271,45,3,54,5997,110,4.01,1.243,8.2,1.1,3,8,2.66,220,60,27,20,70.1,162,0,156,67,156,87.66880342,-1.331196581
SFG,NL,89,81,41,22,162,81,81,0.5,3.84,162,1,0,41,1433.2,1353,684,612,143,506,18,1358,69,8,51,6095,104,3.74,1.297,8.5,0.9,3.2,8.5,2.68,193,71,37,22,65.1,161,0,152,63,152,89.97587719,0.975877193
TEX,AL,80,81,37,29,162,81,81,0.5,3.49,162,2,1,37,1443,1235,605,560,172,463,24,1344,50,4,43,5942,105,3.89,1.177,7.7,1.1,2.9,8.4,2.9,260,73,28,29,56.1,160,0,146,66,146,84.20091324,4.200913242
ARI,NL,88,80,42,29,162,80,82,0.494,4.49,162,0,0,42,1444,1403,785,721,196,500,20,1288,57,8,31,6183,97,4.27,1.318,8.7,1.2,3.1,8,2.58,201,69,34,29,59.2,162,0,159,71,159,85.04821803,-2.951781971
MIA,NL,85,79,40,22,162,79,83,0.488,4.6,162,0,0,40,1443.1,1376,798,737,199,507,17,1294,71,10,65,6185,96,4.34,1.305,8.6,1.2,3.2,8.1,2.55,190,58,31,22,64.5,162,0,147,62,147,88.85487528,3.854875283
STL,NL,92,78,42,23,162,78,84,0.481,4.3,162,2,2,42,1432,1434,754,684,170,461,17,1209,48,4,52,6120,96,4.06,1.323,9,1.1,2.9,7.6,2.62,217,73,34,23,64.6,160,0,157,65,157,90.04670913,-1.95329087
TBR,AL,87,77,35,29,162,77,85,0.475,3.94,162,1,0,35,1431.1,1273,683,627,205,474,11,1416,67,6,33,5960,105,4.15,1.221,8,1.3,3,8.9,2.99,165,53,32,29,54.7,161,0,151,64,151,88.53642384,1.536423841
ATL,NL,73,76,34,21,162,76,86,0.469,4.36,162,1,0,34,1438,1348,734,697,197,530,20,1416,70,8,40,6116,96,4.2,1.306,8.4,1.2,3.3,8.9,2.67,215,83,39,21,61.8,161,0,128,55,128,87.63802083,14.63802083
ATH,AL,67,76,35,20,162,76,86,0.469,4.71,162,0,0,35,1437.2,1387,817,753,222,570,26,1323,80,7,29,6232,89,4.66,1.361,8.7,1.4,3.6,8.3,2.32,237,65,27,20,63.6,162,0,122,55,122,84.39071038,17.39071038
BAL,AL,105,75,38,20,162,75,87,0.463,4.62,162,1,0,38,1432.2,1433,788,735,217,523,19,1351,48,8,63,6166,88,4.41,1.365,9,1.4,3.3,8.5,2.58,214,59,28,20,65.5,161,0,163,58,163,98.98773006,-6.012269939
LAA,AL,82,72,38,34,162,72,90,0.444,4.89,162,0,0,38,1431.1,1429,837,777,223,620,44,1280,52,10,63,6255,88,4.78,1.432,9,1.4,3.9,8,2.06,212,80,38,34,52.8,162,0,154,72,154,81.82251082,-0.177489177
PIT,NL,76,71,36,26,162,71,91,0.438,3.76,162,1,0,36,1430.2,1267,645,598,153,473,18,1314,73,2,46,5982,114,3.83,1.216,8,1,3,8.3,2.78,218,77,35,26,58.1,161,0,138,62,138,84.62801932,8.628019324
MIN,AL,95,70,28,25,162,70,92,0.432,4.55,162,1,0,28,1426.2,1411,773,721,194,459,19,1372,69,10,47,6116,95,4.09,1.311,8.9,1.2,2.9,8.7,2.99,167,59,35,25,52.8,161,0,148,53,148,98.63738739,3.637387387
WSN,NL,76,66,37,20,162,66,96,0.407,5.35,162,0,0,37,1423.2,1491,899,846,214,566,6,1248,89,5,68,6287,77,4.72,1.445,9.4,1.4,3.6,7.9,2.2,277,108,39,20,64.9,162,0,133,57,133,87.80952381,11.80952381
CHW,AL,70,60,25,24,162,60,102,0.37,4.28,162,0,0,25,1416,1336,742,674,189,595,29,1286,72,10,48,6124,98,4.47,1.364,8.5,1.2,3.8,8.2,2.16,240,76,32,24,51,162,0,119,49,119,90.39215686,20.39215686
COL,NL,61,43,29,25,162,43,119,0.265,5.99,162,0,0,29,1407.1,1673,1021,937,251,554,19,1093,73,7,60,6367,82,5.24,1.582,10.7,1.6,3.5,7,1.97,278,98,35,25,53.7,162,0,115,54,115,81.51014493,20.51014493
AVR,AV,90,81,40.03333333,23.63333333,162,81,81,0.4999,4.16,162,0.966666667,0.433333333,40.03333333,1435.666667,1337.933333,720.4666667,663.4333333,188.3333333,512.6333333,18.53333333,1354.833333,64.26666667,6.033333333,47.66666667,6097.533333,102.1,4.159666667,1.289166667,8.386666667,1.183333333,3.216666667,8.493333333,2.666333333,217,68.63333333,31.66666667,23.63333333,62.74,161.0333333,0,153.6666667,63.66666667,153.6666667,,
Important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
